Name,Email,"Import ID",Organization,Position,"Category Type","Top 50",Bio,"LinkedIn URL","Website URL",Status,"Import Date"
"Sebastian Tanzer",,,Triply,"CEO & Co-Founder","Start-ups, Scale-ups & Katalysatoren",no,,https://www.linkedin.com/in/sebastiantanzer/,http://triply.net/,publish,
"Stephan Obwegeser",,,"Touring Club Schweiz (TCS)","Leiter e-Mikromobilität","Etablierte Unternehmen",no,,https://www.linkedin.com/in/obwegeser/,http://www.tcs.ch/,publish,
"Tobias Liebelt",,,"Benteler Mobility Services",CEO,"Etablierte Unternehmen",no,,https://www.linkedin.com/in/tobias-liebelt-1a3659127/,https://www.benteler-mobility.com/,publish,
"Wen Han",,,"Windrose Technology",Gründer,"Start-ups, Scale-ups & Katalysatoren",no,,https://www.linkedin.com/in/wenwindrosetrucks/?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app,https://www.linkedin.com/company/windrosetrucks/,publish,
"Wim Ouboter",,,"Microlino AG (Micro Mobility Systems)","Founder & CEO","Start-ups, Scale-ups & Katalysatoren",no,,https://www.linkedin.com/in/wim-ouboter-466b97a8/,https://www.microlino-car.com/,publish,
"Léa Miggiano",,,carvolution,"Co-Founder & CMO","Start-ups, Scale-ups & Katalysatoren",no,,https://www.linkedin.com/in/l%C3%A9a-miggiano/,https://www.carvolution.com/fr/magazine/jeune-entrepreneur-de-la-annee,publish,
"Klaus Zellmer",,,Skoda,CEO,"Etablierte Unternehmen",no,,https://www.linkedin.com/in/klaus-zellmer-441b5b1b8/,https://www.skoda-auto.com/,publish,
"Björn Bender",,,"Rail Europe SAS",CEO,"Etablierte Unternehmen",no,,https://www.linkedin.com/in/benderbjoern/,https://www.raileurope.com/,publish,
"Boris Palmer",,,"Stadt Tübingen",Bürgermeister,"Governance & Verwaltungen, Politik, öffentliche Unternehmen",no,,https://www.linkedin.com/in/boris-palmer-b575a416b/,https://www.tuebingen.de/,publish,
"Catrin von Cisewski",,,Telekom,"Smart City Expertin","Start-ups, Scale-ups & Katalysatoren",no,,https://www.linkedin.com/in/catrinvoncisewski/,https://www.telekom.com,publish,
"Christine von Breitenbuch",,,"IAA Mobility, Messe München",Direktorin,"Governance & Verwaltungen, Politik, öffentliche Unternehmen",no,,https://www.linkedin.com/in/christinevonbreitenbuch/,https://www.iaa-mobility.com/en,publish,
"Christoph Seyerlein",,,"Manager MAGAZIN","Redakteur Mobilität","Start-ups, Scale-ups & Katalysatoren",no,,https://www.linkedin.com/in/christophseyerlein/,http://www.manager-magazin.de/,publish,
"Christoph Weigler",,,UBER,"Managing Director DACH","Etablierte Unternehmen",no,,https://www.linkedin.com/in/cweigler/,http://www.uber.com/,publish,
"Dr. Christian Dahlheim",,,"Volkswagen Financial Services",CEO,"Etablierte Unternehmen",no,,https://www.linkedin.com/in/dr-christian-dahlheim-026a48a4/,https://www.vwfs.com/,publish,
"Dr. Corsin Sulser",,,Parcandi,Gründer,"Start-ups, Scale-ups & Katalysatoren",no,,https://www.linkedin.com/in/corsin-sulser/,http://www.parcandi.com,publish,
"Dr. Jan Hegner",,,dromos,"Co-Founder & SVP Sales","Start-ups, Scale-ups & Katalysatoren",no,,https://www.linkedin.com/in/dr-jan-hegner-080864110/,http://www.dromos.network/,publish,
"Fabian Beste",,,4Screen,"Co-Founder & CEO","Start-ups, Scale-ups & Katalysatoren",no,,https://www.linkedin.com/in/fabian-beste-13758177/,https://4screen.com/,publish,
"Felix Pörnbacher",,,DeepDrive,"Co-Founder & Co-CEO","Start-ups, Scale-ups & Katalysatoren",no,,https://www.linkedin.com/in/felixpoe/,http://deepdrive.tech/,publish,
"Franz Reiner",,,"Mercedes Benz Mobility AG",CEO,"Etablierte Unternehmen",no,,https://www.linkedin.com/in/franz-reiner/,https://www.mercedes-benz-mobility.com/en/,publish,
"Friedrich Dräxlmaier",,,"DRÄXLMAIER Group","Chairman of the Administrative Board","Etablierte Unternehmen",no,,http://Kein%20LinkedIn,https://www.draexlmaier.com/en/,publish,
"Günther Schuh",,,"Wissenschaftler I Unternehmer I Innovationen I Produktionsmanagement I Mobilitätslösungen",,"Start-ups, Scale-ups & Katalysatoren",no,,https://www.linkedin.com/in/g%C3%BCnther-schuh/,,publish,
"Horst Graef",,,"deer GmbH",Geschäfstführer,"Etablierte Unternehmen",no,,https://www.youtube.com/watch?v=gTYlX-HIdj4&ab_channel=KEA-BW,http://www.deer-mobility.de,publish,
"Johannes Pallasch",,,"NOW – Nationale Leitstelle Ladeinfrastruktur","Leiter Nationale Leitstelle Ladeinfrastruktur (Sprecher)","Governance & Verwaltungen, Politik, öffentliche Unternehmen",no,,https://www.linkedin.com/in/johannes-pallasch-13475b64/,http://nationale-leitstelle.de/,publish,
"Judith Häberli",,,"Urban Connect","Chief Growth Officer & Co‑Founder","Start-ups, Scale-ups & Katalysatoren",no,,https://www.linkedin.com/in/judith-h%C3%A4berli/,https://urban-connect.com/,publish,
"Karel Dijkman",,,Cargobee,"Gründer und Inhaber","Start-ups, Scale-ups & Katalysatoren",no,,https://www.linkedin.com/in/karel-dijkman-234303166/,http://www.cargobee.com,publish,
"Katharina Kreutzer",,,MOVN,"CEO and Co-Founder","Start-ups, Scale-ups & Katalysatoren",no,,https://www.linkedin.com/in/katharina-kreutzer/,https://www.muvn.de/,publish,
"Kevin Löffelbein",,,nowaclean,"Gründer & Geschäftsführer","Start-ups, Scale-ups & Katalysatoren",no,,https://www.linkedin.com/in/kevin-loeffelbein-174283145/,https://nowaclean.com/,publish,
"Alexander Möller",,,VDV,Geschäftsführer,"Governance & Verwaltungen, Politik, öffentliche Unternehmen",no,,https://www.linkedin.com/in/alexander-m%C3%B6ller-486538187/,https://www.vdv.de/,publish,
"Anna-Theresa Korbutt",,,"Hamburger Verkehrsverbund (HVV)",Geschäftsführerin,"Governance & Verwaltungen, Politik, öffentliche Unternehmen",no,,https://www.linkedin.com/in/anna-theresa-korbutt-84421061/?originalSubdomain=at,https://www.hvv.de/de,publish,
"Anjes Tjarks",,,"Hansestadt Hamburg","Senator Verkehr","Governance & Verwaltungen, Politik, öffentliche Unternehmen",no,,https://www.linkedin.com/in/anjes-tjarks-19356835/,,publish,
"André Schwämmlein",,,FlixBus,CEO,"Etablierte Unternehmen",no,,https://www.linkedin.com/in/andr%C3%A9-schw%C3%A4mmlein/,https://global.flixbus.com/,publish,
ID,Name,Company,Category,Description,Innovation,Website,LinkedIn,Email,Status,"Created Date","Modified Date"
4835,"Alexander Möller",VDV,"Governance & Verwaltungen, Politik, öffentliche Unternehmen",,,https://www.vdv.de/,https://www.linkedin.com/in/alexander-m%C3%B6ller-486538187/,,publish,"2025-08-19 09:59:56","2025-08-24 02:29:00"
4836,"André Schwämmlein",FlixBus,"Etablierte Unternehmen",,,https://global.flixbus.com/,https://www.linkedin.com/in/andr%C3%A9-schw%C3%A4mmlein/,,publish,"2025-08-19 09:59:56","2025-08-24 03:29:19"
4837,"Anjes Tjarks","Hansestadt Hamburg","Governance & Verwaltungen, Politik, öffentliche Unternehmen",,,,https://www.linkedin.com/in/anjes-tjarks-19356835/,,publish,"2025-08-19 09:59:56","2025-08-19 09:59:56"
4838,"Anna-Theresa Korbutt","Hamburger Verkehrsverbund (HVV)","Governance & Verwaltungen, Politik, öffentliche Unternehmen",,,https://www.hvv.de/de,https://www.linkedin.com/in/anna-theresa-korbutt-84421061/?originalSubdomain=at,,publish,"2025-08-19 09:59:56","2025-08-21 14:24:25"
4839,"Björn Bender","Rail Europe SAS","Etablierte Unternehmen",,,https://www.raileurope.com/,https://www.linkedin.com/in/benderbjoern/,,publish,"2025-08-19 09:59:57","2025-08-21 09:50:44"
4840,"Boris Palmer","Stadt Tübingen","Governance & Verwaltungen, Politik, öffentliche Unternehmen",,,https://www.tuebingen.de/,https://www.linkedin.com/in/boris-palmer-b575a416b/,,publish,"2025-08-19 09:59:57","2025-08-21 09:50:58"
